segment_id,x1_m,x2_m,y1_m,y2_m,floor,idx,flow_load
S1,20,40,130,150,0,0,0.0
S2,40,50,150,130,0,1,0.0
S3,20,170,130,130,0,2,1010254.0
S4,170,170,130,40,0,3,1724097.0
S5,70,70,130,40,0,4,2879963.0
S6,70,170,40,40,0,5,0.0
S7,120,120,40,130,0,6,1010254.0
S1,20,20,130,160,1,7,1704742.0
S2,20,70,160,130,1,8,495366.0
S3,70,170,130,130,1,9,2020508.0
S4,170,170,130,40,1,10,1724097.0
S5,70,70,130,40,1,11,2879963.0
S6,70,170,40,40,1,12,0.0
S7,40,70,30,40,1,13,0.0
