segment_id,x1_m,x2_m,y1_m,y2_m,floor,idx,flow_load
S1,20,40,130,150,0,0,0.0
S2,40,50,150,130,0,1,0.0
S3,20,170,130,130,0,2,449903.0
S4,170,170,130,40,0,3,1192417.0
S5,70,70,130,40,0,4,1821509.0
S6,70,170,40,40,0,5,1137270.0
S7,120,120,40,130,0,6,1587173.0
S1,20,20,130,160,1,7,0.0
S2,20,70,160,130,1,8,0.0
S3,70,170,130,130,1,9,0.0
S4,170,170,130,40,1,10,0.0
S5,70,70,130,40,1,11,0.0
S6,70,170,40,40,1,12,0.0
S7,40,70,30,40,1,13,0.0
