segment_id,x1_m,x2_m,y1_m,y2_m,floor,idx,flow_load
S1,20,40,130,150,0,0,1792518.0
S2,40,50,150,130,0,1,7644.0
S3,20,170,130,130,0,2,3183702.0
S4,170,170,130,40,0,3,2965028.0
S5,70,70,130,40,0,4,4832354.0
S6,70,170,40,40,0,5,1090790.5
S7,120,120,40,130,0,6,2489618.5
S1,20,20,130,160,1,7,0.0
S2,20,70,160,130,1,8,0.0
S3,70,170,130,130,1,9,2020200.0
S4,170,170,130,40,1,10,1721794.0
S5,70,70,130,40,1,11,2879243.0
S6,70,170,40,40,1,12,0.0
S7,40,70,30,40,1,13,0.0
