segment_id,x1_m,x2_m,y1_m,y2_m,floor,flow_load
S1,20,40,130,150,0,3900447.5
S2,40,50,150,130,0,508774.0
S3,20,170,130,130,0,6250658.5
S4,170,170,130,40,0,5881542.0
S5,70,70,130,40,0,9533826.0
S6,70,170,40,40,0,2228060.5
S7,120,120,40,130,0,5087045.5
S1,20,20,130,160,1,3322862.0
S2,20,70,160,130,1,993362.0
S3,70,170,130,130,1,4040708.0
S4,170,170,130,40,1,3445891.0
S5,70,70,130,40,1,5759206.0
S6,70,170,40,40,1,0.0
S7,40,70,30,40,1,0.0
